"Day","Sales","Trading Profit","Operating Expense","Net Profit"
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,339880,-339880
3,85104,34961,569535,-534574
4,173276,73209,655662,-582453
5,272113,116610,751898,-635288
6,371059,-97384,804304,-901688
7,475028,-49173,858802,-907975
8,2186315,693206,907951,-214745
9,2292650,740598,975815,-235217
10,2942367,1026141,1093132,-66991
11,3461467,1167078,1144713,22365
12,3931091,1399836,1195399,204437
13,4178109,1516773,1245908,270865
14,4443478,1519530,1310151,209379
15,4499735,1504403,1362729,141674
16,4530990,1520136,1528201,-8065
17,4558446,1533896,1574109,-40213
18,5339115,1730871,1644727,86144
19,5762410,1835693,1757270,78423
20,5807138,1857718,1850511,7207
21,5853571,1880545,1979532,-98987
22,5901064,1903586,2059792,-156206
23,5982994,1941670,2129361,-187691
24,6062458,1980365,2213592,-233227
25,6158705,2024454,2308655,-284201
26,6234644,2064098,2383498,-319400
27,6314615,2105604,2437513,-331909
28,6381665,2140649,2540271,-399622
29,7328730,2345243,2777026,-431783
30,7396059,2380459,3548200,-1167741
31,8368009,2499808,3600891,-1101083
32,8442611,2479628,3869618,-1389990
33,9063645,2538313,3950682,-1412369
34,9139943,2579271,4182754,-1603483
35,9213860,2616846,4234403,-1617557
36,9284543,2654107,4328545,-1674438
37,10265796,2898495,4390908,-1492413
38,10552723,3053690,4464702,-1411012
39,10818446,3204037,4555823,-1351786
40,10871265,3233943,4668980,-1435037
41,10923337,3255480,4822220,-1566740
42,10975490,3271472,4869619,-1598147
43,11029516,3296783,4917615,-1620832
44,11082346,3327717,4980591,-1652874
45,12092889,3520912,5057016,-1536104
46,12143867,3535894,5120912,-1593518
47,12190554,3534560,5215427,-1689367
48,12772642,3612919,5292523,-1688104
49,13050038,3683542,5333380,-1658338
50,13099283,3707454,5378516,-1679562
51,13150188,3735684,5419961,-1692777
52,13182695,3755798,5492672,-1745374
53,13251849,3791905,5564573,-1781168
54,13532578,3809094,5606525,-1805931
55,13602555,3815361,5648474,-1841613
56,14007367,3938532,5694517,-1764485
57,14390245,3999895,5735069,-1743674
58,14512304,4094809,5791687,-1705378
59,14557314,4122003,5850266,-1736763
60,14879392,4217230,5890825,-1682095
61,14915873,4234708,5931993,-1705785
62,14955101,4258838,6001505,-1751167
63,14995974,4284726,6039268,-1763042
64,15031582,4309921,6126423,-1825002
65,15100051,4355308,6161152,-1814344
66,15168523,4404965,6196385,-1799920
67,15232442,4452010,6231644,-1788134
68,15296278,4498899,6266910,-1776511
69,15360891,4549210,6302788,-1762078
70,15478672,4609014,6338683,-1738169
71,15542306,4657061,6434471,-1785910
72,15610051,4706454,6491507,-1793553
73,15676560,4758316,6577862,-1828046
74,15765191,4819717,6660033,-1848816
75,15849558,4877234,6717227,-1848493
76,15907496,4920660,6784416,-1872256
77,15996370,4985118,6835733,-1859115
78,16257778,5175999,6873180,-1705681
79,16521071,5369456,6937703,-1576747
80,16737190,5525287,6975056,-1458269
81,16960747,5695226,7028918,-1342192
82,17174545,5845722,7067188,-1229966
83,17379129,6034309,7105736,-1079927
84,19172183,6863953,7186405,-330952
85,19613798,7016727,7241933,-233706
86,19678454,7070813,7311813,-249500
87,19758244,7126558,7369367,-251309
88,19820236,7167921,7404895,-245474
89,20537068,7411008,7476832,-74324
90,20592239,7441904,7512724,-79320